date,home_team,away_team,home_score,away_score,tournament,neutral,year,home_elo,away_elo,elo_diff,result
1901-03-30,England,Scotland,2.0,2.0,British Home Championship,False,1901,2013.0,1973.0,40.0,draw
1902-05-03,England,Scotland,2.0,2.0,British Home Championship,False,1902,1995.0,1983.0,12.0,draw
1902-07-20,Uruguay,Argentina,0.0,6.0,Friendly,False,1902,1879.0,2021.0,-142.0,away_win
1903-04-04,England,Scotland,1.0,2.0,British Home Championship,False,1903,1968.0,1956.0,12.0,away_win
1903-09-13,Argentina,Uruguay,2.0,3.0,Friendly,False,1903,2005.0,1895.0,110.0,away_win
1904-04-09,Scotland,England,0.0,1.0,British Home Championship,False,1904,1898.0,1981.0,-83.0,away_win
1904-05-01,Belgium,France,3.0,3.0,Évence Coppée Trophy,False,1904,1790.0,1610.0,180.0,draw
1905-02-12,France,Switzerland,1.0,0.0,Friendly,False,1905,1606.0,1495.0,111.0,home_win
1905-04-01,England,Scotland,1.0,0.0,British Home Championship,False,1905,1973.0,1841.0,132.0,home_win
1905-04-30,Belgium,Netherlands,1.0,4.0,Friendly,False,1905,1763.0,1936.0,-173.0,away_win
1905-05-07,Belgium,France,7.0,0.0,Friendly,False,1905,1763.0,1606.0,157.0,home_win
1905-05-14,Netherlands,Belgium,4.0,0.0,Friendly,False,1905,1936.0,1763.0,173.0,home_win
1905-08-15,Argentina,Uruguay,0.0,0.0,Copa Lipton,False,1905,1997.0,1903.0,94.0,draw
1906-04-07,Scotland,England,2.0,1.0,British Home Championship,False,1906,1820.0,1973.0,-153.0,home_win
1906-04-22,France,Belgium,0.0,5.0,Friendly,False,1906,1578.0,1837.0,-259.0,away_win
1906-04-29,Belgium,Netherlands,5.0,0.0,Friendly,False,1906,1837.0,1879.0,-42.0,home_win
1906-05-13,Netherlands,Belgium,2.0,3.0,Friendly,False,1906,1879.0,1837.0,42.0,away_win
1906-07-09,Argentina,South Africa,0.0,1.0,Friendly,False,1906,2008.0,1847.0,161.0,away_win
1906-08-15,Uruguay,Argentina,0.0,2.0,Copa Lipton,False,1906,1845.0,2008.0,-163.0,away_win
1906-10-21,Argentina,Uruguay,2.0,1.0,Copa Newton,False,1906,2008.0,1845.0,163.0,home_win
1907-04-06,England,Scotland,1.0,1.0,British Home Championship,False,1907,1979.0,1810.0,169.0,draw
1907-04-14,Belgium,Netherlands,1.0,3.0,Friendly,False,1907,1815.0,1848.0,-33.0,away_win
1907-04-21,Belgium,France,1.0,2.0,Friendly,False,1907,1815.0,1595.0,220.0,away_win
1907-05-09,Netherlands,Belgium,1.0,2.0,Friendly,False,1907,1848.0,1815.0,33.0,away_win
1908-03-08,Switzerland,France,1.0,2.0,Friendly,False,1908,1505.0,1573.0,-68.0,away_win
1908-03-29,Belgium,Netherlands,1.0,4.0,Friendly,False,1908,1771.0,1904.0,-133.0,away_win
1908-04-04,Scotland,England,1.0,1.0,British Home Championship,False,1908,1835.0,2146.0,-311.0,draw
1908-04-05,Switzerland,Germany,5.0,3.0,Friendly,False,1908,1505.0,1669.0,-164.0,home_win
1908-04-12,France,Belgium,1.0,2.0,Friendly,False,1908,1573.0,1771.0,-198.0,away_win
1908-04-26,Netherlands,Belgium,3.0,1.0,Friendly,False,1908,1904.0,1771.0,133.0,home_win
1908-05-10,Netherlands,France,4.0,1.0,Friendly,False,1908,1904.0,1573.0,331.0,home_win
